tier,model,iou_mean,iou_lo,iou_hi,iou_dz_vs_identity,breach_mean,breach_lo,breach_hi,feas_mean,feas_lo,feas_hi,n
weak,gpt-4o-mini,0.42931354838709673,0.4128362741935484,0.44647346774193536,-5.342935536417416,0.5161290322580645,0.36129032258064514,0.6838709677419355,0.9612903225806452,0.9290322580645162,0.9870967741935484,155
mid,gpt-5.4-mini,0.37570129032258065,0.3640340161290323,0.3881516451612903,-8.198084334317619,0.2967741935483871,0.1935483870967742,0.41935483870967744,0.9483870967741935,0.9096774193548387,0.9806451612903225,155
strong,gpt-5.4,0.4017148387096774,0.3894585322580645,0.41406009677419353,-7.708251949648946,0.3741935483870968,0.2645161290322581,0.4967741935483871,0.9741935483870968,0.9483870967741935,0.9935483870967742,155
