contrast,diff_mean,diff_lo,diff_hi,dz,n_pairs
weak-mid,0.053612258064516125,0.03618503225806451,0.07098688709677418,0.4798285520075108,155
weak-strong,0.027598709677419356,0.008639806451612898,0.04617667741935484,0.23513697702483086,155
mid-strong,-0.02601354838709678,-0.040624306451612906,-0.011414064516129037,-0.2830020803578565,155
